,iom_subdistict,adm3_en
0,9 Nissan,Abi Gharaq
1,AL-Hurr,Abu Dalf
2,AL-Khayrat,Abu Ghraib
3,Abaiji,Agjalare
4,Abo Sayda,Al-Abbasi
5,Abu Gharaq,Al-Adel
6,Aghjalar,Al-Atheem
7,AinKawa,Al-Ayadiya
8,Akar koof,Al-Aziz
9,Al -Radhawya,Al-Aziziya
10,Al A'bara,Al-Bahhar
11,Al A'dheem,Al-Bashaer
12,Al- Muhalabiya,Al-Battha'a
13,Al-Abassy,Al-Dair
14,Al-Amerli,Al-Dawaya
15,Al-Dujeel Center,Al-Dujeel
16,Al-Eshaqi,Al-Duski
17,Al-Karrada,Al-Emam
18,Al-Khaldiya,Al-Esshaqi
19,Al-Mishkhab,Al-Fahama
20,Al-Moatassem,Al-Fajer
21,Al-Multaqa,Al-Fawwar
22,Al-Namroud,Al-Fuhood
23,Al-Nasir Walsalam,Al-Gharraf
24,Al-Qahtaniya,Al-Hammar
25,Al-Qayara,Al-Hartha
26,Al-Riyad,Al-Heera
27,Al-Sadda,Al-Hilal
28,Al-Saqlawiyah,Al-Howweir
29,Al-Shura,Al-Huriya
30,Al-Siniya,Al-Islah
31,Al-Taji Al-Jadeed,Al-Karabla
32,Al-Wafaa,Al-Karrada Al-Sharqia
33,Altal,Al-Kifil
34,Altun kupri,Al-Madhatiya
35,As-Saadia,Al-Majd
36,Atroush,Al-Mamoon
37,Ayadiya,Al-Mashroo
38,Ba'adre,Al-Mihanawiya
39,Ba'quba Center,Al-Msharah
40,Baashiqa,Al-Muhamadath
41,Baharka,Al-Multaka
42,Bakrajo,Al-Muotasim
43,Bamarni,Al-Najmi
44,Bani Sa'ad,Al-Nashwa
45,Banslawa - Kasnazan,Al-Nekhaeeb
46,Banslawa - Qushtappa,Al-Qahtanya
47,Bartalla,Al-Qairawan
48,Basirma,Al-Qasim
49,Batel,Al-Qayarra
50,Bazyan,Al-Rahhaliya
51,Bjeel,Al-Rashad
52,Chamanke,Al-Rashdia
53,Chwarqurna,Al-Riyadh
54,Daratu,Al-Saadiya
55,Darkar,Al-Sadeer
56,Deralook,Al-Shabaka
57,Eaz Al Din Selem,Al-Shehamiya
58,Fayida,Al-Shinafiya
59,Gerdaseen,Al-Shomaly
60,Hajiawa,Al-Siba
61,Hamam al Aleel,Al-Sowair
62,Husaibah Al-Sharqiah,Al-Synia
63,Jalula,Al-Taji
64,Kalak,Al-Tar
65,Kalakchi,Al-Tarmiya
66,Kani Mase,Al-Teeb
67,Khabat - Kawergosik,Al-Thagar
68,Khabat - Rizgari,Al-Tharthar
69,Khan Dhari,Al-Wajihia
70,Khoshnaw - Hiran,Al-Walid
71,Khurmal,Ali Al-Sharki
72,Kin'an,Altun Qupri
73,Kulajo,Ameraly
74,Laylan,Atreesh
75,MakkHoul,Baghdad Al-Jedeeda
76,Mangesh,Balak
77,Markaz Abu Ghraib,Bartilla
78,Markaz Abu al Khaseeb,Barwari Bala
79,Markaz Akre,Barzan
80,Markaz Al Adhamia,Bashiqa
81,Markaz Al-Amara,Bateel
82,Markaz Al-Azezia,Bazian
83,Markaz Al-Ba'aj,Bebaz
84,Markaz Al-Balad,Begeel
85,Markaz Al-Daur,Beni Hasheem
86,Markaz Al-Hay,Beni Saad
87,Markaz Al-Ka'im,Beyara
88,Markaz Al-Mejar Al-Kabir,Bitwana
89,Markaz Al-Musayab,Bradost
90,Markaz Al-Nassriya,Cenkaw
91,Markaz Al-Resafa,Dercar
92,Markaz Al-Rifa'i,Fayde
93,Markaz Al-Samawa,Gnareen
94,Markaz Al-Shamiya,Haji Omaran
95,Markaz Al-Tarmia,Hammam Al-Alil
96,Markaz Amedi,Hamreen
97,Markaz Baiji,Hero
98,Markaz Dabes,Jalawla
99,Markaz Dahuk,Kadr Karam
100,Markaz Darbandihkan,Kanan
101,Markaz Dokan,Karmak
102,Markaz Falluja,Khoshnaw
103,Markaz Haditha,Khourmal
104,Markaz Karkh,Kumait
105,Markaz Koisinjaq,Kurdsein
106,Markaz Mahmudiya,Lilan
107,Markaz Makhmur,Makkhoul
108,Markaz Mergasur,Markaz Abu Al-Khaseeb
109,Markaz Mosul,Markaz Al-Adhamiya
110,Markaz Qaradagh,Markaz Al-Amadiya
111,Markaz Ra'ua,Markaz Al-Baaj
112,Markaz Ramadi,Markaz Al-Chibayish
113,Markaz Saidsadiq,Markaz Al-Falluja
114,Markaz Shaqlawa,Markaz Al-Faw
115,Markaz Sharazoor,Markaz Al-Kadhimiya
116,Markaz Soran,Markaz Al-Kahla
117,Markaz Sulaymaniya,Markaz Al-Karkh
118,Markaz Sumel,Markaz Al-Khidhir
119,Markaz Suq Al-Shoyokh,Markaz Al-Mada'in
120,Markaz Tikrit,Markaz Al-Mahmoudiya
121,Markaz Tilkaif,Markaz Al-Maimouna
122,Markaz Tuz Khurmatu,Markaz Al-Midaina
123,Meshahda,Markaz Al-Nasiriya
124,Nahrawan,Markaz Al-Ramadi
125,Nawjul,Markaz Al-Rifai
126,Pebaz,Markaz Al-Salman
127,Pyramaqrun,Markaz Al-Shatra
128,Qaeyrrawan,Markaz Al-Thawra
129,Qara Hanjeer,Markaz Ali Al-Gharbi
130,Qasrouk,Markaz Aqra
131,Rashad,Markaz Beygee
132,Rawanduz,Markaz Derbendikhan
133,Rizgari,Markaz Dibis
134,Rovia,Markaz Duhok
135,Rubiya,Markaz Koysinjaq
136,Sab'a Al-Bour,Markaz Makhmour
137,Sangaw,Markaz Panjwin
138,Sarsink,Markaz Pshdar
139,Schwan,Markaz Rawanduz
140,Sheladze,Markaz Sharbazher
141,Sirwan,Markaz Sumail
142,Suleiman Beg,Markaz Tilkaef
143,Surdash,Markaz Tooz Khurmato
144,Sytak,Mawat
145,Takia,Mazouri Bala
146,Tanjaro,Mergasur
147,Taqtaq,Midan
148,Taza Khurmatu,Mirka
149,Ur,Namroud
150,Wanna,Nawdasht
151,Warmawa,Nerwa Rekan
152,Wassit Sub District,Outba
153,Yaychi,Qalaa't Ansab
154,Zilkan,Qaradagh
155,,Qasruk
156,,Qazanya
157,,Qura Hanjeer
158,,Qushtappa
159,,Rabia
160,,Rawa
161,,Safwan
162,,Said Dekhil
163,,Salah Al-Din
164,,Sarchnar
165,,Sarkran
166,,Sarsank
167,,Saruchik
168,,Shaekh Saad
169,,Shahrazur
170,,Shwan
171,,Sindi
172,,Siwail
173,,Sourdash
174,,Sulaiman Baig
175,,Talha
176,,Taq Taq
177,,Taza Khormato
178,,That al Salasil
179,,Tilako
180,,Um Al-Qura
181,,Um Qasr
182,,Wana
183,,Wasit
184,,Yaijy
